01.05.2023;109
02.05.2023;68
03.05.2023;85
04.05.2023;74
05.05.2023;66
06.05.2023;116
07.05.2023;130
08.05.2023;65
09.05.2023;114
10.05.2023;91
11.05.2023;91
12.05.2023;87
13.05.2023;137
14.05.2023;181
15.05.2023;111
16.05.2023;96
17.05.2023;69
18.05.2023;88
19.05.2023;101
20.05.2023;181
21.05.2023;177
22.05.2023;104
23.05.2023;112
24.05.2023;65
25.05.2023;91
26.05.2023;160
27.05.2023;139
28.05.2023;144
29.05.2023;124
30.05.2023;65
31.05.2023;85
01.06.2023;88
02.06.2023;150
03.06.2023;183
04.06.2023;143
05.06.2023;134
06.06.2023;77
07.06.2023;107
08.06.2023;103
09.06.2023;161
10.06.2023;169
11.06.2023;185
12.06.2023;140
13.06.2023;65
14.06.2023;83
15.06.2023;99
16.06.2023;135
17.06.2023;179
18.06.2023;150
19.06.2023;127
20.06.2023;64
21.06.2023;72
22.06.2023;100
23.06.2023;122
24.06.2023;139
25.06.2023;144
26.06.2023;69
27.06.2023;101
28.06.2023;100
29.06.2023;85
30.06.2023;133
01.07.2023;202
02.07.2023;196
03.07.2023;81
04.07.2023;85
05.07.2023;78
06.07.2023;101
07.07.2023;122
08.07.2023;173
09.07.2023;151
10.07.2023;111
11.07.2023;78
12.07.2023;78
13.07.2023;99
14.07.2023;104
15.07.2023;120
16.07.2023;125
17.07.2023;87
18.07.2023;53
19.07.2023;64
20.07.2023;73
21.07.2023;83
22.07.2023;142
23.07.2023;164
24.07.2023;99
25.07.2023;109
26.07.2023;86
27.07.2023;94
28.07.2023;96
29.07.2023;190
30.07.2023;121
31.07.2023;92
01.08.2023;111
02.08.2023;51
03.08.2023;75
04.08.2023;114
05.08.2023;107
06.08.2023;203
07.08.2023;87
08.08.2023;85
09.08.2023;75
10.08.2023;101
11.08.2023;88
12.08.2023;170
13.08.2023;129
14.08.2023;97
15.08.2023;74
16.08.2023;87
17.08.2023;102
18.08.2023;92
19.08.2023;143
20.08.2023;138
